AU,2024-01-15,268.60,80.58,188.02
AT,2024-01-15,0.62,0.19,0.43
CA,2024-01-15,102.38,30.71,71.66
DK,2024-01-15,231.61,69.48,162.13
FI,2024-01-15,28.31,8.49,19.81
FR,2024-01-15,386.88,116.07,270.82
DE,2024-01-15,472.53,141.76,330.77
GR,2024-01-15,26.65,8.00,18.66
HK,2024-01-15,43.08,12.92,30.16
IE,2024-01-15,122.83,36.85,85.98
IT,2024-01-15,48.24,14.47,33.77
NL,2024-01-15,77.27,23.18,54.09
SG,2024-01-15,15.81,4.74,11.06
ES,2024-01-15,30.79,9.24,21.55
SE,2024-01-15,1036.79,311.04,725.75
AE,2024-01-15,2.58,0.77,1.81
GB,2024-01-15,1492.27,447.68,1044.59
US,2024-01-15,2963.26,888.98,2074.28
AU,2024-01-16,161.36,48.41,112.95
AT,2024-01-16,32.46,9.74,22.72
CA,2024-01-16,61.58,18.47,43.11
DK,2024-01-16,86.11,25.83,60.28
FI,2024-01-16,6.78,2.04,4.75
FR,2024-01-16,313.95,94.19,219.77
DE,2024-01-16,381.48,114.44,267.04
GR,2024-01-16,4.70,1.41,3.29
HK,2024-01-16,30.89,9.27,21.63
IE,2024-01-16,65.96,19.79,46.17
IT,2024-01-16,92.16,27.65,64.51
NL,2024-01-16,161.99,48.60,113.39
SG,2024-01-16,51.98,15.59,36.38
ES,2024-01-16,10.12,3.04,7.09
SE,2024-01-16,1840.51,552.15,1288.36
AE,2024-01-16,13.15,3.95,9.21
GB,2024-01-16,1288.90,386.67,902.23
US,2024-01-16,2335.55,700.67,1634.89
AU,2024-01-17,48.99,14.70,34.29
AT,2024-01-17,22.67,6.80,15.87
CA,2024-01-17,74.99,22.50,52.50
DK,2024-01-17,182.06,54.62,127.44
FI,2024-01-17,45.54,13.66,31.88
FR,2024-01-17,280.03,84.01,196.02
DE,2024-01-17,398.89,119.67,279.22
GR,2024-01-17,0.31,0.09,0.22
HK,2024-01-17,139.02,41.71,97.32
IE,2024-01-17,125.55,37.66,87.88
IT,2024-01-17,55.25,16.58,38.68
NL,2024-01-17,82.20,24.66,57.54
SG,2024-01-17,15.77,4.73,11.04
ES,2024-01-17,10.55,3.16,7.38
SE,2024-01-17,1114.79,334.44,780.35
AE,2024-01-17,43.87,13.16,30.71
GB,2024-01-17,801.02,240.31,560.72
US,2024-01-17,2033.00,609.90,1423.10
AU,2024-01-18,180.36,54.11,126.25
AT,2024-01-18,18.87,5.66,13.21
CA,2024-01-18,157.29,47.19,110.10
DK,2024-01-18,66.79,20.04,46.76
FI,2024-01-18,0.00,0.00,0.00
FR,2024-01-18,480.36,144.11,336.25
DE,2024-01-18,684.20,205.26,478.94
GR,2024-01-18,0.42,0.13,0.29
HK,2024-01-18,14.68,4.40,10.28
IE,2024-01-18,152.36,45.71,106.65
IT,2024-01-18,61.03,18.31,42.72
NL,2024-01-18,217.69,65.31,152.38
SG,2024-01-18,65.85,19.76,46.10
ES,2024-01-18,17.41,5.22,12.18
SE,2024-01-18,861.72,258.52,603.21
AE,2024-01-18,25.06,7.52,17.54
GB,2024-01-18,749.11,224.73,524.37
US,2024-01-18,1424.92,427.48,997.44
AU,2024-01-19,26.58,7.97,18.61
AT,2024-01-19,42.49,12.75,29.74
CA,2024-01-19,86.44,25.93,60.51
DK,2024-01-19,112.50,33.75,78.75
FI,2024-01-19,1.99,0.60,1.39
FR,2024-01-19,300.55,90.17,210.39
DE,2024-01-19,226.15,67.84,158.30
GR,2024-01-19,1.05,0.31,0.73
HK,2024-01-19,268.63,80.59,188.04
IE,2024-01-19,62.58,18.77,43.81
IT,2024-01-19,46.36,13.91,32.45
NL,2024-01-19,28.26,8.48,19.78
SG,2024-01-19,26.58,7.97,18.61
ES,2024-01-19,78.07,23.42,54.65
SE,2024-01-19,1031.84,309.55,722.29
AE,2024-01-19,1.67,0.50,1.17
GB,2024-01-19,555.37,166.61,388.76
US,2024-01-19,1519.08,455.73,1063.36
AU,2024-01-20,210.24,63.07,147.17
AT,2024-01-20,30.14,9.04,21.10
CA,2024-01-20,31.60,9.48,22.12
DK,2024-01-20,62.68,18.81,43.88
FI,2024-01-20,21.03,6.31,14.72
FR,2024-01-20,242.05,72.62,169.44
DE,2024-01-20,329.44,98.83,230.60
HK,2024-01-20,33.38,10.01,23.37
IE,2024-01-20,166.60,49.98,116.62
IT,2024-01-20,1.47,0.44,1.03
NL,2024-01-20,112.18,33.66,78.53
SG,2024-01-20,56.30,16.89,39.41
ES,2024-01-20,35.58,10.67,24.91
SE,2024-01-20,1373.31,411.99,961.32
AE,2024-01-20,31.81,9.54,22.27
GB,2024-01-20,755.57,226.67,528.90
US,2024-01-20,2083.56,625.07,1458.49
